product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,barcode_status,unit_price_old,unit_price_new,price_diff,categories_old,categories_new
S-Budget szeletelt csemege szalámi 100 g,S-Budget szeletelt csemege szalámi 100 g,5999139400452,,lost_barcode,449.0,474.0,25.0,szalami-242,szalami-114
S-Budget szeletelt diákcsemege 100 g,S-Budget szeletelt diákcsemege 100 g,5999139400469,,lost_barcode,599.0,474.0,-125.0,szalami-242,szalami-114
S-Budget szeletelt paprikás szalámi 100 g,S-Budget szeletelt paprikás szalámi 100 g,5999139400438,,lost_barcode,449.0,474.0,25.0,szalami-242,szalami-114
S-Budget szeletelt toast kenyér 500 g,S-Budget szeletelt toast kenyér 500 g,5999139404245,,lost_barcode,369.0,399.0,30.0,kenyerek-27,kenyerek-80
"S-Budget szeletelt, füstölt, zsíros, ömlesztett sajt 100 g","S-Budget szeletelt, füstölt, zsíros, ömlesztett sajt 100 g",5999033886079,,lost_barcode,449.0,469.0,20.0,szeletelt-sajtok-40,szeletelt-sajtok-92
S-Budget áfonya- és tuttifrutti ízű magas koffeintartalmú szénsavas alkoholmentes ital 250 ml,S-Budget áfonya- és tuttifrutti ízű magas koffeintartalmú szénsavas alkoholmentes ital 250 ml,5999138200503,,lost_barcode,249.0,259.0,10.0,energiaital-142,energiaital-204
"SPAR BBQ darabolt sertés oldalas, pikáns fűszerezésű olajos marinádban","SPAR BBQ darabolt sertés oldalas, pikáns fűszerezésű olajos marinádban",2003138860018,,lost_barcode,2583.0,2789.5,206.5,sertes-121,sertes-126
SPAR BBQ magyaros csirkeszárny 500 g,SPAR BBQ magyaros csirkeszárny 500 g,5999139401077,,lost_barcode,899.0,819.0,-80.0,baromfi-119,hus-3
SPAR BBQ szeletelt zöldfűszeres mellfilé 500 g,SPAR BBQ szeletelt zöldfűszeres mellfilé 500 g,5999139401039,,lost_barcode,1699.0,1734.0,35.0,baromfi-119,hus-3
SPAR BBQ zöldfűszeres szárny 500 g,SPAR BBQ zöldfűszeres szárny 500 g,5999139401053,,lost_barcode,899.0,819.0,-80.0,baromfi-119,hus-3
SPAR Hazai Szeretem friss tojás M 10 db,SPAR Hazai Szeretem friss tojás M 10 db,5999033892070,,lost_barcode,910.0,1019.0,109.0,tojas-238,tojas-112
SPAR Natur*pur Bio tojás L 6 db,SPAR Natur*pur Bio tojás L 6 db,5999033890151,,lost_barcode,699.0,755.0,56.0,tojas-238,tojas-112
SPAR Natur*pur Bio tojás M 10 db,SPAR Natur*pur Bio tojás M 10 db,5999033890144,,lost_barcode,1129.0,1219.0,90.0,tojas-238,tojas-112
SPAR PREMIUM lazacpisztráng filé,SPAR PREMIUM lazacpisztráng filé,15999033890462,,lost_barcode,2389.7,2605.67,215.97000000000025,hal-123,hal-127
SPAR PREMIUM vörös tonhalfilé,SPAR PREMIUM vörös tonhalfilé,15999033890493,,lost_barcode,4196.5,5288.15,1091.6499999999996,hal-123,hal-127
"SPAR Pop Corn mikrohullámú sütőben készíthető, vajas ízű, sózott pattogatni való kukorica 100 g","SPAR Pop Corn mikrohullámú sütőben készíthető, vajas ízű, sózott pattogatni való kukorica 100 g",5999033851497,,lost_barcode,165.0,179.0,14.0,popcorn-303,popcorn-189
SPAR császárzsemle,SPAR császárzsemle,5998704370954,,lost_barcode,69.0,75.0,6.0,zsemle-kifli-bagel-baguette-32,zsemle-kifli-bagel-baguette-84
SPAR free from Kenyér Mix gluténmentes & laktózmentes szeletelt kenyér 10 x 50 g (500 g),SPAR free from Kenyér Mix gluténmentes & laktózmentes szeletelt kenyér 10 x 50 g (500 g),9100000131719,,lost_barcode,1999.0,2159.0,160.0,glutenmentes-85,glutenmentes-76
SPAR friss csirke alsócomb 650 g,SPAR friss csirke alsócomb 650 g,5999139400926,,lost_barcode,849.0,849.0,0.0,baromfi-119,baromfi-124
SPAR friss csirke felsőcomb 650 g,SPAR friss csirke felsőcomb 650 g,5999139400933,,lost_barcode,849.0,849.0,0.0,baromfi-119,baromfi-124
SPAR friss csirkecombfilé 600 g,SPAR friss csirkecombfilé 600 g,5999139400957,,lost_barcode,1411.0,1411.0,0.0,baromfi-119,baromfi-124
SPAR friss csirkemellfilé 500 g,SPAR friss csirkemellfilé 500 g,5999139400919,,lost_barcode,1376.0,1341.0,-35.0,baromfi-119,baromfi-124
SPAR friss csirkeszárny 650 g,SPAR friss csirkeszárny 650 g,5999139400940,,lost_barcode,871.0,871.0,0.0,baromfi-119,baromfi-124
"SPAR füstölt, főtt, darabolt erdélyi szalonna","SPAR füstölt, főtt, darabolt erdélyi szalonna",92002684500051,,lost_barcode,1396.0,1466.0,70.0,szalonna-bacon-67,szalonna-bacon-121
SPAR kakaós csiga,SPAR kakaós csiga,5998704370145,,lost_barcode,199.0,169.0,-30.0,edes-pekaru-29,edes-pekaru-82
SPAR mustáros-borsos csirke egészcombfilé 500 g,SPAR mustáros-borsos csirke egészcombfilé 500 g,5999139401008,,lost_barcode,1399.0,1395.0,-4.0,baromfi-119,hus-3
SPAR mélyalmos friss tojás M 10 db,SPAR mélyalmos friss tojás M 10 db,5999033886437,,lost_barcode,855.0,890.0,35.0,tojas-238,tojas-112
SPAR mélyalmos friss tojás S 10 db,SPAR mélyalmos friss tojás S 10 db,5999139401671,,lost_barcode,666.0,712.0,46.0,tojas-238,tojas-112
SPAR pizzás csiga,SPAR pizzás csiga,5998704374174,,lost_barcode,249.0,304.0,55.0,sos-pekaru-28,sos-pekaru-81
SPAR szeletelt bacon 200 g,SPAR szeletelt bacon 200 g,5999033892346,,lost_barcode,899.0,755.0,-144.0,szalonna-bacon-67,szalonna-bacon-121
SPAR túrós táska,SPAR túrós táska,5998704370138,,lost_barcode,279.0,229.0,-50.0,edes-pekaru-29,edes-pekaru-82
SPAR vanília-epres jégkrém 1500 ml,SPAR vanília-epres jégkrém 1500 ml,5999033891868,,lost_barcode,1199.0,1749.0,550.0,jegkremek-132,jegkremek-197
Sajtos stangli,Sajtos stangli,5998704370206,,lost_barcode,209.0,249.0,40.0,sos-pekaru-28,zsemle-kifli-bagel-baguette-84
Vágott sulizsemle,Vágott sulizsemle,5998704371142,,lost_barcode,89.0,75.0,-14.0,zsemle-kifli-bagel-baguette-32,zsemle-kifli-bagel-baguette-84
Vöröskáposzta lédig,Vöröskáposzta lédig,5999886187668,,lost_barcode,898.5,187.6,-710.9,kaposztafelek-karfiol-brokkoli-21,kaposztafelek-karfiol-brokkoli-68
Édesburgonya lédig,Édesburgonya lédig,2003611150018,,lost_barcode,389.7,374.7,-15.0,burgonya-18,burgonya-65
