key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Prima_product_name,Spar_barcode,Prima_barcode,Spar_unit_price,Prima_unit_price,Spar_unit_type,Prima_unit_type,Spar_unit_step,Prima_unit_step,Spar_base_price,Prima_base_price,Spar_categories,Prima_categories
3014260022839|oral-b 3 effect medium manual toothbrush x2,db,670.0,106.518,Oral-B 3 Effect Medium Manual Toothbrush x2,Oral-B 3 Effect Medium Manual Toothbrush x2,3014260022839,3014260022839,629.0,1299.0,db,db,1.0,1.0,629.0,1299.0,fogkefe-298,szajapolas-203
3083680002875|bonduelle morzsolt csemegekukorica 340 g,kg,-117.647,-4.768,Bonduelle morzsolt csemegekukorica 340 g,Bonduelle morzsolt csemegekukorica 340 g,3083680002875,3083680002875,839.0,799.0,g,g,340.0,340.0,2467.647,2350.0,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680003629|bonduelle gőzben párolt csicseriborsó 310 g,kg,301.887,8.705,Bonduelle gőzben párolt csicseriborsó 310 g,Bonduelle gőzben párolt csicseriborsó 310 g,3083680003629,3083680003629,919.0,999.0,g,g,265.0,265.0,3467.925,3769.811,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680004244|bonduelle zöldborsó 400 g,kg,175.0,8.696,Bonduelle zöldborsó 400 g,Bonduelle zöldborsó 400 g,3083680004244,3083680004244,805.0,875.0,g,g,400.0,400.0,2012.5,2187.5,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680004275|bonduelle zöldborsó 800 g,kg,150.943,5.638,Bonduelle zöldborsó 800 g,Bonduelle zöldborsó 800 g,3083680004275,3083680004275,1419.0,1499.0,g,g,530.0,530.0,2677.358,2828.302,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680009508|bonduelle vörösbab 400 g,kg,175.0,8.245,Bonduelle vörösbab 400 g,Bonduelle vörösbab 400 g,3083680009508,3083680009508,849.0,919.0,g,g,400.0,400.0,2122.5,2297.5,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680026154|bonduelle bébirépa 400 g,kg,230.189,7.494,Bonduelle bébirépa 400 g,Bonduelle bébirépa 400 g,3083680026154,3083680026154,814.0,875.0,g,g,265.0,265.0,3071.698,3301.887,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680053303|bonduelle gold szuperédes morzsolt csemegekukorica 340 g,kg,161.765,5.826,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,3083680053303,3083680053303,944.0,999.0,g,g,340.0,340.0,2776.471,2938.235,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680090742|bonduelle bon menu chili red bean in hot mexican sauce 430 g,kg,275.0,5.826,Bonduelle Bon Menu Chili Red Bean in Hot Mexican Sauce 430 g,Bonduelle Bon Menu Chili Red Bean in Hot Mexican Sauce 430 g,3083680090742,3083680090742,944.0,999.0,g,g,200.0,200.0,4720.0,4995.0,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680466950|bonduelle zöldborsó 530 g,kg,120.0,4.717,Bonduelle zöldborsó 530 g,Bonduelle zöldborsó 530 g,3083680466950,3083680466950,954.0,999.0,g,g,375.0,375.0,2544.0,2664.0,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680483407|bonduelle bon menu paradicsom fehérbab paradicsommártásban 430 g,kg,127.907,5.826,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,3083680483407,3083680483407,944.0,999.0,g,g,430.0,430.0,2195.349,2323.256,zoldsegkonzerv-210,zoldseg-konzerv-99
3083680495882|bonduelle bon menu mexicana red bean with corn in mild mexican sauce 430 g,kg,275.0,5.826,Bonduelle Bon Menu Mexicana Red Bean with Corn in Mild Mexican Sauce 430 g,Bonduelle Bon Menu Mexicana Red Bean with Corn in Mild Mexican Sauce 430 g,3083680495882,3083680495882,944.0,999.0,g,g,200.0,200.0,4720.0,4995.0,zoldsegkonzerv-210,zoldseg-konzerv-99
