store_name,store_product_id,product_name,unit_step,unit_type,tipus,javasolt_mennyiseg,javasolt_egyseg,bizonyossag,indok,local_image_paths
Aldi,533467,Őszibarack lédig,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/2578dbe8fa95eb26.jpg
Aldi,533317,Paradicsom cherry fürtös ldg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/668101ce8230b15a.jpg
Aldi,533299,Gomba kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/73539dccc2aeec63.jpg
Aldi,4607048,Paradicsom rubina lédig,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,
Aldi,533372,Gyömbér kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/40e6a2c4f51772fd.jpg
Auchan,656835:4194225,Hamé Grill Party zöldség grill fűszerkeverék 25 g,23.0,g,nev_elteres,25.0,g,review,"nev szerint 25 g, API szerint 23.0 g (elteres 8%)",data/markets_data/product_images/auchan/fd42ced6740f0886.png
Auchan,1046075:4583465,Lucullus Grill Pác Karibi fűszerkeverék a kókusz és a lime ízével 27 g,21.0,g,nev_elteres,27.0,g,review,"nev szerint 27 g, API szerint 21.0 g (elteres 22%)",data/markets_data/product_images/auchan/420f8a538e416836.png
Auchan,1018084:4555474,Lucullus RUB BBQ & Grill Fűszerkeverék HONEY AND CHILI 40 g,26.0,g,nev_elteres,40.0,g,review,"nev szerint 40 g, API szerint 26.0 g (elteres 35%)",data/markets_data/product_images/auchan/81eb35ef67b24f12.png
Auchan,1018072:4555462,Hame Grill Party Pulled pork grill szósz 300 g,250.0,g,nev_elteres,300.0,g,review,"nev szerint 300 g, API szerint 250.0 g (elteres 17%)",data/markets_data/product_images/auchan/bb5be9d171ed6b3a.png
Auchan,656817:4194207,Hamé Grill Party BBQ édes & füstös grill szósz 230 ml,250.0,ml,nev_elteres,230.0,ml,review,"nev szerint 230 ml, API szerint 250.0 ml (elteres 8%)",data/markets_data/product_images/auchan/b18c3c99f27b1941.png
Auchan,451717:3989107,Gyorsfagyasztott cápaharcsafilé 20% glazúr 1 kg,800.0,g,nev_elteres,1000.0,g,review,"nev szerint 1000 g, API szerint 800.0 g (elteres 20%)",data/markets_data/product_images/auchan/bff6f4d4464b8817.png
Auchan,991316:4528706,Hajdú krémfehér sajt 520 g,400.0,g,nev_elteres,520.0,g,review,"nev szerint 520 g, API szerint 400.0 g (elteres 23%)",data/markets_data/product_images/auchan/64208eaf83dfa4df.png
Auchan,13153:13156,Bakoma Greek natúr joghurt 180 g,170.0,g,nev_elteres,180.0,g,review,"nev szerint 180 g, API szerint 170.0 g (elteres 6%)",data/markets_data/product_images/auchan/4a82b26d086c83f0.png
Auchan,602858:4140248,Bakoma Greek natúr joghurt 400 g,370.0,g,nev_elteres,400.0,g,review,"nev szerint 400 g, API szerint 370.0 g (elteres 8%)",data/markets_data/product_images/auchan/d8c1632f0853d54a.png
