barcode_norm,product_name_old,product_name_new,category_norm_old,category_norm_new,category_base_old,category_base_new,unit_price_old,unit_price_new
40737768,Kühne fehérborecet 6% 250 ml,Kühne fehérborecet 6% 250 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,1390.0,1390.0
4012200160763,Kühne modenai balzsamecet 250 ml,Kühne modenai balzsamecet 250 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,1679.0,1679.0
4012200019207,Kühne saláta ecet 750 ml,Kühne saláta ecet 750 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,1499.0,1499.0
8412498001346,Maeva extra szűz olíva olaj spray 200 ml,Maeva extra szűz olíva olaj spray 200 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,2939.0,2939.0
8006830321560,Mantova 230° Airfryer forrólevegős sütő olaj spray 200 ml,Mantova 230° Airfryer forrólevegős sütő olaj spray 200 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,2624.0,2624.0
80053828,Monini Classico extra szűz olívaolaj 500 ml,Monini Classico extra szűz olívaolaj 500 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,5249.0,5249.0
5999884727019,Olajütő Szövetkezet Ormánsági tökmag olaj 250 ml,Olajütő Szövetkezet Ormánsági tökmag olaj 250 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,4094.0,4094.0
5201330336967,Orfeas Classic olívaolaj 1 l,Orfeas Classic olívaolaj 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,4304.0,4304.0
5201330336905,Orfeas extra szűz olíva olaj 500 ml,Orfeas extra szűz olíva olaj 500 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,3674.0,3674.0
9100000009421,S-Budget 100% finomított napraforgó-étolaj 1 l,S-Budget 100% finomított napraforgó-étolaj 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,759.0,759.0
5999033898843,S-Budget ételecet 10% 1 l,S-Budget ételecet 10% 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,284.0,284.0
5999033897112,S-Budget ételecet 20% 1 l,S-Budget ételecet 20% 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,524.0,524.0
5999033891295,SPAR 100% pörköletlen hidegen sajtolt tökmagolaj 500 ml,SPAR 100% pörköletlen hidegen sajtolt tökmagolaj 500 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,4199.0,4199.0
9100000052304,"SPAR Natur*pur Bio 100% BIO almaecet 0,5 l","SPAR Natur*pur Bio 100% BIO almaecet 0,5 l",antipasti-159,savanyusag-161,antipasti,savanyusag,1550.0,1550.0
